dataset,method,reduction,class,mac0,mac1,mac2,mac3,mac4,mac5,mac6,mac7,mac8,mac9,macro_avg_ic
20ng,adaptive-cluster-is,0.40309016628485994,roberta,0.7241490604,0.7203096560,0.7252366405,0.7005847160,0.7509917383,0.7090534752,0.7393484144,0.7523138454,0.7070236632,0.7198618829,
20ng,adaptive-perplexity,0.35757104648370813,roberta,0.6991302073,0.7399283190,0.7202602510,0.7211077137,0.7389609848,0.7012733330,0.7382004901,0.7607667257,0.7188597715,0.7182376290,
20ng,autoencoder-is,0.24995577986228623,modernbert,0.7247155338,0.7196929591,0.7220981711,0.6834945089,0.7288582685,0.7110290936,0.7076053458,0.7603380367,0.7031790170,0.7062540134,
20ng,autoencoder-is,0.24995577986228623,roberta,0.7441957756,0.7622016091,0.7374517906,0.7131691817,0.7399664775,0.7119198593,0.7327724567,0.7593716610,0.7038577929,0.7182662033,
20ng,biois,0.39107037981563786,modernbert,0.7258902064,0.7358476305,0.7268584258,0.6972496517,0.7120086838,0.6887246414,0.7172936456,0.7566504401,0.6985326650,0.7236056070,
20ng,biois,0.39107037981563786,roberta,0.7276311812,0.7553038271,0.7236873845,0.7115108341,0.7327458569,0.7259495910,0.7436888582,0.7631843252,0.7112814561,0.7301349225,
20ng,entropy-sublinear-ae-is,0.22468768222588711,modernbert,0.7224393563,0.7313275354,0.7189911730,0.7070798238,0.7260380158,0.7007124403,0.7294221586,0.7256339965,0.7188544562,0.7080358911,
20ng,entropy-sublinear-ae-is,0.22468768222588711,roberta,0.7276501307,0.7524823504,0.7375544739,0.7130763366,0.7274601059,0.7045855976,0.7549811111,0.7498033998,0.7200940551,0.7206406522,
20ng,gmm-is,0.299951656431839,roberta,0.7145789435,0.7377796114,0.7400328210,0.7080278313,0.7368437083,0.7084923164,0.7455337454,0.7777963634,0.7097861191,0.7188886616,
20ng,no-is,0.0,modernbert,0.7345470580,0.7269401272,0.7231252389,0.7233658806,0.7435313764,0.7188215831,0.7353943522,0.7437071226,0.7249741233,0.7261904455,
20ng,no-is,0.0,roberta,0.7570451139,0.7454612811,0.7447698787,0.7158179893,0.7641197213,0.7354454409,0.7444860573,0.7794729317,0.7268819388,0.7484475292,
20ng,sublinear-ae-is,0.249979367897558,modernbert,0.7363191588,0.7141319308,0.7092679162,0.6692362762,0.7234545073,0.7136819562,0.7132790793,0.7415982967,0.7028617248,0.7219084043,
20ng,sublinear-ae-is,0.249979367897558,roberta,0.7424153220,0.7372087332,0.7490856992,0.6922640102,0.7315814416,0.7250292566,0.7523972141,0.7460483424,0.7145343431,0.7263447809,
acm,adaptive-cluster-is,0.399276777462931,roberta,0.6626451980,0.6749938614,0.6641984627,0.6487139601,0.6379860837,0.6518478577,0.6908738206,0.6448576752,0.6695985598,0.7136182303,
acm,adaptive-perplexity,0.38016162992447516,roberta,0.6794457370,0.6972474819,0.6567741345,0.6642928748,0.6266239019,0.6552761305,0.6918978423,0.6669090951,0.6567239995,0.6742261000,
acm,autoencoder-is,0.2999647443549308,modernbert,0.7148308357,0.7009898535,0.6663985840,0.6636295999,0.6800106416,0.6747183332,0.6655711633,0.6827833599,0.6956330014,0.6988012296,
acm,autoencoder-is,0.2999647443549308,roberta,0.6666725195,0.6777806805,0.6634378041,0.6320635498,0.6781646865,0.6528666557,0.6972022526,0.6313088211,0.6956115858,0.7013830926,
acm,biois,0.3627299767991165,modernbert,0.7044420062,0.7243219294,0.6565110668,0.6995165629,0.6453926814,0.6818160615,0.6767880704,0.6601646075,0.6832670422,0.7133676558,
acm,biois,0.3627299767991165,roberta,0.6918905306,0.6943337181,0.6515366914,0.6317723767,0.6662264863,0.6826506232,0.6645918496,0.6634023933,0.6755826755,0.6977616998,
acm,entropy-sublinear-ae-is,0.19215895186864532,modernbert,0.6896515607,0.7048005871,0.6580385385,0.6804118734,0.6942739624,0.6667270892,0.6634552351,0.6888130662,0.6916376785,0.7196302362,
acm,entropy-sublinear-ae-is,0.19215895186864532,roberta,0.6668139435,0.6792780238,0.6547985879,0.6864357505,0.6447690579,0.6923957253,0.6924012325,0.6550244628,0.7000536044,0.7012687810,
acm,gmm-is,0.2999602820613119,roberta,0.6627609323,0.6695438014,0.6686796881,0.6442426479,0.6709308525,0.6497732763,0.6824313507,0.6746435782,0.6634873717,0.6526640198,
acm,no-is,0.0,modernbert,0.7036573165,0.7070563137,0.6604953084,0.6953881232,0.7067649867,0.6776271078,0.7154320032,0.6878202872,0.7122745386,0.7083780612,
acm,no-is,0.0,roberta,0.7075604009,0.6878855615,0.6731542934,0.6850993707,0.6883957617,0.6608662430,0.7021395937,0.6739016161,0.6870316254,0.7131924851,
acm,sublinear-ae-is,0.3499930798300666,modernbert,0.6827090290,0.6841052877,0.6455120698,0.6916194825,0.6786040434,0.6635285088,0.6754588917,0.6805916550,0.6663520398,0.7195874834,
acm,sublinear-ae-is,0.3499930798300666,roberta,0.6704776737,0.6808415783,0.6639344558,0.6499227833,0.6490040923,0.6608605644,0.6929698829,0.6470432995,0.6303013028,0.6313251584,
books,adaptive-cluster-is,0.4007032776775964,roberta,0.8376699288,0.8365744668,0.8472532972,0.8304124303,0.8267827091,0.8514894708,0.8330333413,0.8399390729,0.8419771182,0.8478201422,
books,adaptive-perplexity,0.3954806605823127,roberta,0.8402152266,0.8303777170,0.8470303419,0.8334104077,0.8247651799,0.8500643599,0.8261473742,0.8303839988,0.8375324714,0.8379631891,
books,autoencoder-is,0.24997850151760975,modernbert,0.8496444510,0.8547348818,0.8533055444,0.8447493657,0.8412154065,0.8481142089,0.8434061144,0.8515682001,0.8547132218,0.8555567355,
books,autoencoder-is,0.24997850151760975,roberta,0.8438148561,0.8468628793,0.8634414312,0.8428990351,0.8414290502,0.8530730978,0.8329852183,0.8546162941,0.8450142447,0.8503041565,
books,biois,0.36014698394800476,modernbert,0.8426097968,0.8333113325,0.8387452376,0.8326189294,0.8355574698,0.8513226071,0.8238926517,0.8591283093,0.8442726844,0.8429592550,
books,biois,0.36014698394800476,roberta,0.8316141741,0.8322475764,0.8496432602,0.8340257725,0.8344546099,0.8500496137,0.8302728662,0.8405651379,0.8456038601,0.8452992384,
books,entropy-sublinear-ae-is,0.1863163333933142,modernbert,0.8442744212,0.8413055545,0.8493314655,0.8557639791,0.8487901781,0.8754500080,0.8560332220,0.8641007993,0.8540388050,0.8601542606,
books,entropy-sublinear-ae-is,0.1863163333933142,roberta,0.8488482373,0.8535380310,0.8514794129,0.8511231834,0.8497338090,0.8664644967,0.8445515008,0.8492244915,0.8547779546,0.8603778778,
books,gmm-is,0.2999874316968405,roberta,0.8507043632,0.8529715731,0.8409999424,0.8205664790,0.8342325573,0.8620439649,0.8407410434,0.8532832206,0.8448941987,0.8450341489,
books,no-is,0.0,modernbert,0.8681727247,0.8660162012,0.8739153887,0.8634890217,0.8758664037,0.8813567746,0.8600418568,0.8791275657,0.8699886590,0.8626077411,
